Sanders,Clinton,Trump,Rubio,Cruz,Kasich,Date
63.6594663278,36.3405336722,67.619943556,2.55879586077,13.6970837253,16.1241768579,2016-03-14
62.7291242363,37.2708757637,62.9480286738,5.42114695341,17.2491039427,14.3817204301,2016-03-08
52.1739130435,47.8260869565,52.5,6.25,35.0,6.25,2016-03-09
47.9138627187,52.0861372813,62.4346006278,6.20858039763,24.4506452738,6.90617370073,2016-03-04
60.3122966818,39.6877033182,58.8743299583,7.59380583681,25.8784991066,7.65336509827,2016-03-05
45.8471760797,54.1528239203,60.5166051661,8.48708487085,21.6482164822,9.34809348093,2016-03-06
53.6663124336,46.3336875664,61.8035190616,4.69208211144,24.780058651,8.72434017595,2016-03-07
66.9178082192,33.0821917808,70.1359084406,2.82546494993,14.2882689557,12.7503576538,2016-03-13
60.5528740676,39.4471259324,72.7935704718,2.54502158059,15.4338443221,9.22756362554,2016-03-12
66.6666666667,33.3333333333,67.5881410256,5.48878205128,16.7668269231,10.15625,2016-03-11
54.3583535109,45.6416464891,56.3646470261,5.66981656476,21.8732629238,16.0922734853,2016-03-10
